user_id,day,date,screen_time,sleep,steps,unlocks,mood,sleep_deficit,activity_score,screen_intensity,mood_inversion,weekday_flag,late_night_flag,risk_rule,risk_target
user_001,1,2024-01-01,3.16,7.33,7215,54,5,0.67,0.72,0.4,0,1,0,24.9,23.1
user_001,2,2024-01-02,3.87,6.53,4557,28,4,1.47,0.46,0.48,1,1,0,53.0,55.9
user_001,3,2024-01-03,5.48,5.47,4322,69,3,2.53,0.43,0.68,2,1,0,82.6,80.5
user_001,4,2024-01-04,1.93,6.98,8652,52,5,1.02,0.87,0.24,0,1,0,20.6,21.8
user_001,5,2024-01-05,4.64,6.38,4596,74,3,1.62,0.46,0.58,2,1,0,69.6,70.5
user_001,6,2024-01-06,5.24,5.88,4971,67,3,2.12,0.5,0.65,2,0,0,76.2,76.2
user_001,7,2024-01-07,5.72,6.74,2644,91,3,1.26,0.26,0.72,2,0,0,74.2,82.5
user_001,8,2024-01-08,5.93,6.57,6363,72,3,1.43,0.64,0.74,2,1,0,69.3,64.5
user_001,9,2024-01-09,5.43,6.17,2705,67,3,1.83,0.27,0.68,2,1,0,78.6,75.2
user_001,10,2024-01-10,4.66,7.14,7264,74,4,0.86,0.73,0.58,1,1,0,44.7,46.9
user_001,11,2024-01-11,4.25,6.4,3238,70,3,1.6,0.32,0.53,2,1,0,70.5,70.0
user_001,12,2024-01-12,4.01,7.73,4507,64,4,0.27,0.45,0.5,1,1,0,41.8,42.6
user_001,13,2024-01-13,4.75,6.66,7352,74,4,1.34,0.74,0.59,1,0,0,49.7,54.2
user_001,14,2024-01-14,6.4,8.66,2788,85,4,0.0,0.28,0.8,1,0,0,52.0,51.9
user_001,15,2024-01-15,2.8,7.93,8597,39,5,0.07,0.86,0.35,0,1,0,14.7,13.1
user_001,16,2024-01-16,2.7,6.67,8373,35,4,1.33,0.84,0.34,1,1,0,39.3,38.1
user_001,17,2024-01-17,5.1,7.44,5820,74,4,0.56,0.58,0.64,1,1,0,46.4,50.5
user_001,18,2024-01-18,4.71,6.51,6843,63,4,1.49,0.68,0.59,1,1,0,52.1,51.0
user_001,19,2024-01-19,6.03,6.19,1000,87,3,1.81,0.1,0.75,2,1,0,84.2,83.0
user_001,20,2024-01-20,5.65,6.81,4673,81,3,1.19,0.47,0.71,2,0,0,69.2,63.1
user_001,21,2024-01-21,4.87,7.67,5488,51,4,0.33,0.55,0.61,1,0,0,43.8,40.6
user_001,22,2024-01-22,3.31,7.15,5834,39,4,0.85,0.58,0.41,1,1,0,42.1,42.1
user_001,23,2024-01-23,5.07,6.45,4343,66,3,1.55,0.43,0.63,2,1,0,71.1,72.1
user_001,24,2024-01-24,4.49,7.32,3715,55,4,0.68,0.37,0.56,1,1,0,49.4,51.7
user_001,25,2024-01-25,3.54,7.99,8982,63,5,0.01,0.9,0.44,0,1,0,16.3,13.7
user_001,26,2024-01-26,4.59,6.41,7376,81,4,1.59,0.74,0.57,1,1,0,51.5,54.1
user_001,27,2024-01-27,6.01,6.14,5889,71,3,1.86,0.59,0.75,2,0,0,74.8,76.4
user_001,28,2024-01-28,4.9,7.11,5207,64,4,0.89,0.52,0.61,1,0,0,50.1,47.4
user_001,29,2024-01-29,4.07,7.27,7957,62,4,0.73,0.8,0.51,1,1,0,39.6,43.7
user_001,30,2024-01-30,7.55,5.79,3275,91,2,2.21,0.33,0.94,3,1,1,100.0,100.0
user_001,31,2024-01-31,6.06,5.78,5799,96,3,2.22,0.58,0.76,2,1,0,78.8,79.5
user_001,32,2024-02-01,5.52,6.65,2877,87,3,1.35,0.29,0.69,2,1,0,73.9,77.8
user_001,33,2024-02-02,5.38,5.89,3810,64,3,2.11,0.38,0.67,2,1,0,79.0,81.3
user_001,34,2024-02-03,7.52,6.32,5356,96,3,1.68,0.54,0.94,2,0,1,80.2,80.6
user_001,35,2024-02-04,4.35,6.27,7461,58,4,1.73,0.75,0.54,1,0,0,51.8,55.4
user_001,36,2024-02-05,5.14,8.53,5496,57,5,0.0,0.55,0.64,0,1,0,29.6,29.5
user_001,37,2024-02-06,3.34,7.75,6663,45,5,0.25,0.67,0.42,0,1,0,22.5,22.2
user_001,38,2024-02-07,5.39,6.24,6556,85,3,1.76,0.66,0.67,2,1,0,70.1,69.0
user_001,39,2024-02-08,3.39,6.7,7835,48,4,1.3,0.78,0.42,1,1,0,42.9,44.8
user_001,40,2024-02-09,6.61,6.41,2842,103,3,1.59,0.28,0.83,2,1,0,80.7,80.8
user_001,41,2024-02-10,7.05,6.89,2270,112,3,1.11,0.23,0.88,2,0,1,78.8,81.5
user_001,42,2024-02-11,5.27,6.8,5699,74,4,1.2,0.57,0.66,1,0,0,53.7,56.3
user_001,43,2024-02-12,6.22,6.35,6967,97,3,1.65,0.7,0.78,2,1,0,71.4,72.1
user_001,44,2024-02-13,4.71,5.92,2929,67,3,2.08,0.29,0.59,2,1,0,77.8,75.2
